scenario,rank,algorithm,datasets,mean_dataset_median_ood_log_nmse,median_dataset_median_ood_log_nmse,mean_n_runs_per_dataset
current_core50_5seed,1,udsr,50,-5.645602441110563,-4.737184604516365,5.0
current_core50_5seed,2,imcts,50,-3.9596322659695393,-7.812419075681457,5.0
current_core50_5seed,3,dso,50,-2.457664957150578,-0.632350749263493,5.0
current_core50_5seed,4,pyoperon,50,1.078803646105024,-0.07468660096752379,5.0
previous_probe4_664_restricted_core50_3seed,1,udsr,50,-5.431030367051432,-4.539306676445099,3.0
previous_probe4_664_restricted_core50_3seed,2,imcts,50,-4.283739251608914,-11.379777969026456,3.0
previous_probe4_664_restricted_core50_3seed,3,dso,50,-1.8475173262814144,-0.5119828992520499,3.0
previous_probe4_664_restricted_core50_3seed,4,pyoperon,50,0.8199657111102355,-0.20336464242221347,3.0
