Subset,Size,Coverage,Mean info,Rank fidelity,Pairwise win agreement,Aggregate error,Stability,Non-redundancy,Difficulty balance,Selection balance,Raw selection score,Hard constraint violations,Hard constraint excess,Feasible selection score,Family match,Failure match
Core-50,50.0,0.8623426047568454,0.5186937047722668,1.0,1.0,0.143111703495893,0.8996659901737304,1.0,0.9390963855421688,0.8700421686746989,0.7436054025458136,0.0,0.0,0.7436054025458136,0.888855421686747,0.7769277108433734
top-info-50,50.0,0.7838253535634043,0.691334027227424,1.0,1.0,2.176661327251424,0.9113512097970728,0.86,0.7803012048192771,0.7971265060240963,0.7541136198379496,4.0,54.0,0.0,0.6674698795180722,0.8140963855421687
metadata-diverse-50,50.0,0.6345651387337097,0.0851762632558064,1.0,1.0,2.13539289961439,0.7346222517342043,0.86,0.6006024096385542,0.7007771084337351,0.45552142625644865,4.0,45.0,0.0,0.9862650602409638,0.8556024096385542
difficulty-balanced-50,50.0,0.8169724291858675,0.6370698484885442,1.0,1.0,1.662319460642632,0.883230884005882,0.92,0.9987951807228916,0.8376265060240963,0.7581373413094501,4.0,33.0,0.0,0.8274698795180723,0.7919277108433735
random-50 avg,50.0,0.8350720034068437,0.1874243420213668,0.9825,0.9854166666666668,0.5334626272749591,0.7047492420753131,0.96975,0.907657379518072,0.9078082329317268,0.6229430246961814,3.175,21.0375,0.0,0.8907643072289156,0.9018230421686748
family-stratified random-50 avg,50.0,0.8147050185919837,0.1911851248109963,0.995,0.9958333333333332,0.4854486317102659,0.6956874830758564,0.968,0.9087929216867472,0.9246634036144578,0.6184645519884902,3.25,18.1625,0.0,0.986265060240964,0.9040263554216867
